ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
271,PickCells: A Physically Reconfigurable Cell-composed Touchscreen, Alix Goguey, Cameron Steer (Swansea University), Andres Lucero (Aalto University), Laurence Nigay (Universite Grenoble Alpes), Deepak Ranjan Sahoo (Swansea University), Celine Coutrix (CNRS), Anne Roudaut (University of Bristol), Sriram Subramanian, Yutaka Tokuda (University of Sussex), Timothy Neate (City University of London), Jennifer Pearson, Simon Robinson, Matt Jones (Swansea University),
272,Active Edge: Designing Squeeze Gestures for the Google Pixel, Philip Quinn, Seungyon Claire Lee, Melissa Barnhart, Shumin Zhai (Google),,,,,,,,,,
273,Clench Interface: Novel Biting Input Techniques, Xuhai Xu (University of Washington & Tsinghua University), Chun Yu (Tsinghua University), Anind K. Dey, Jennifer Mankoff (University of Washington),,,,,,,,,,
274,Interferi: Gesture Sensing using On-Body Acoustic Interferometry, Yasha Iravantchi, Yang Zhang, Evi Bernitsas, Mayank Goel, Chris Harrison, (Carnegie Mellon University),,,,,,,,
275,Cultivating Care through Ambiguity: Lessons from a Service Learning Course, Samar Sabie, Tapan Parikh (Cornell University),,,,,,,,,,,,
276,Beautiful Seams: Strategic Revelations and Concealments, Sarah Inman,David Ribes (University of Washington),,,,,,,,,,,,
277,Understanding the Effect of Accuracy on Trust in Machine Learning Models, Ming Yin (Purdue University), Jennifer Wortman Vaughan, Hanna Wallach (Microsoft Research),,,,,,,,,,,
278,Engaging Gentrification as a Social Justice Issue in HCI, Eric Corbett, Yanni Loukissas (Georgia Institute of Technology),,,,,,,,,,,,
279,Exploring Virtual Agents for Augmented Reality, Isaac Wang, Jesse Smith, Jaime Ruiz (University of Florida),,,,,,,,,,,
280,Privacy Power and Invisible Labor on Amazon Mechanical Turk, Shruti Sannon, Dan Cosley (Cornell University),,,,,,,,,,,,
281,Beyond Schematic Capture: Meaningful Abstractions for Better Electronics Design Tools, Richard Lin, Rohit Ramesh, Antonio Iannopollo, Alberto Sangiovanni Vincentelli, Prabal Dutta, Elad Alon, Bjorn Hartmann (University of California Berkeley),,,,,,,
282,TutoriVR: A Video-Based Tutorial System for Design Applications in Virtual Reality, Balasaravanan Thoravi Kumaravel (University of California Berkeley), Cuong Nguyen, Stephen DiVerdi (Adobe Research), Bjorn Hartmann (University of California Berkeley),,,,,,,,,,
283,Can Mobile Augmented Reality Stimulate a Honeypot Effect? Observations from Santa's Lil Helper, Ryan M. Kelly, Hasan Shahid Ferdous, Niels Wouters, Frank Vetere (University of Melbourne),,,,,,,,,,
284,Infrastructuring the Imaginary: How Sea-Level Rise Comes to Matter in the San Francisco Bay Area, Robert Soden (University of Colorado Boulder), Nate Kauffman (University of California Berkeley),,,,,,,,,,,,
285,The Right to the Sustainable Smart City, Sara Heitlinger (City, University of London), Nick Bryan-Kinns (Queen Mary University of London), Rob Comber (KTH Royal Institute of Technology),,,,,,,,,,
286,A Place to Play: The (Dis)Abled Embodied Experience for Autistic Children in Online Spaces, Kathryn E. Ringland (Northwestern University),,,,,,,,,,,,,
287,'Think secure from the beginning': A Survey with Software Developers, Hala Assal, Sonia Chiasson (Carleton University),,,,,,,,,,,,
288,Wait Do I Know This Person?: Understanding Misdirected Email, Emilee Rader, Anjali Munasinghe (Michigan State University),,,,,,,,,,,,
289,Effects of Locomotion and Visual Overview on Spatial Memory when Interacting with Wall Displays, Yvonne Jansen (CNRS), Jonas Schjerlund, Kasper Hornbæk (University of Copenhagen),,,,,,,,,,,
290,Crowdsourcing Multi-label Audio Annotation Tasks with Citizen Scientists, Mark Cartwright, Graham Dove (New York University), Ana Elisa Mendez Mendez (New York University), Juan P. Bello, Oded Nov (New York University),,,,,,,,,
291,Interactive Repair of Tables Extracted from PDF Documents on Mobile Devices, Jane Hoffswell (University of Washington & Adobe Research), Zhicheng Liu (Adobe Research),,,,,,,,,,,,
292,Frequency-Based Design of Smart Textiles, Jussi Mikkonen (Syddansk Universitet), Riikka Townsend (Aalto University),,,,,,,,,,,,
293,3D Pen + 3D Printer: Exploring the Role of Humans and Fabrication Machines in Creative Making, Haruki Takahashi (Meiji University), Jeeeun Kim (University of Colorado Boulder),,,,,,,,,,,,
294,Metaphoria: An Algorithmic Companion for Metaphor Creation, Katy Ilonka Gero, Lydia B. Chilton (Columbia University),,,,,,,,,,,,
295,RePlay: Contextually Presenting Learning Videos Across Software Applications, C. Ailie Fraser (University of California San Diego & Adobe Research), Tricia J. Ngoon (University of California San Diego), Mira Dontcheva (Adobe Research), Scott Klemmer (University of California San Diego),,,,,,,,,,
296,"The Promise of Empathy: Design Disability and Knowing the ""Other""", Cynthia L. Bennett, Daniela K. Rosner (University of Washington),,,,,,,,,,,,
297,Just Give Me What I Want: How People Use and Evaluate Music Search, Christine Hosey (Spotify), Lara Vujovic (TripAdvisor), Brian St. Thomas, Jean Garcia-Gathright, Jennifer Thom (Spotify),,,,,,,,,
298,Towards Enabling Blind People to Independently Write on Printed Forms, Shirin Feiz, Syed Masum Billah, Vikas Ashok, Roy Shilkrot, IV Ramakrishnan (Stony Brook University),,,,,,,,,
299,Social Cultural and Systematic Frustrations Motivating the Formation of a DIY Hearing Loss Hacking Community, Aisling Ann O'Kane (University of Bristol), Abdinasir Aliomar, Rebecca Zheng, Britta Schulte (University College London), Gianluca Trombetta (Hearing Hacks),,,,,,,,,
300,My Naturewatch Camera: Disseminating Practice Research with a Cheap and Easy DIY Design, William Gaver, Andy Boucher, Michail Vanis, Andy Sheen, Dean Brown, Liliana Ovalle, Naho Matsuda, (University of London), Amina Abbas-Nazari, Robert Phillips (Royal College of Art),,,,
301,Social Media TestDrive: Real-World Social Media Education for the Next Generation, Dominic DiFranzo, Yoon Hyung Choi, Amanda Purington (Cornell University), Jessie G. Taft (Cornell Tech), Janis Whitlock, Natalya N. Bazarova (Cornell University),,,,,,,,
302,Investigating the Impact of a Real-time Multimodal Student Engagement Analytics Technology in Authentic Classrooms, Sinem Aslan, Nese Alyuz, Cagri Tanriover (Intel Corporation), Sinem E. Mete (Bahcesehir University), Eda Okur (Intel Corporation), Sidney K. D'Mello (University of Colorado Boulder), Asli Arslan Esme (Intel Corporation),,,,,,,
303,How do People Sort by Ratings?, Jerry O. Talton (Carta, Inc.), Krishna Dusad, Konstantinos Koiliaris, Ranjitha S. Kumar (University of Illinois at Urbana-Champaign),,,,,,,,,
304,The Smartphone as a Pacifier and its Consequences: Young adults' smartphone usage in moments of solitude and correlations to self-reflection, Sarah Diefenbach, Kim Borrmann (Ludwig Maximilians University Munich),,,,,,,,,,,,
305,Privacy and Security Considerations For Digital Technology Use in Elementary Schools, Priya C. Kumar (University of Maryland College Park), Marshini Chetty (Princeton University), Tamara L. Clegg, Jessica Vitak (University of Maryland College Park),,,,,,,,,,
306,Relations are more than Bytes: Re-thinking the Benefits of Smart Services through People and Things, Claude P. R. Heath (University of London), Clara Crivellaro (Newcastle University), Lizzie Coles-Kemp (University of London),,,,,,,,,,,
307,VoiceAssist: Guiding Users to High-Quality Voice Recordings, Prem Seetharaman (Northwestern University), Gautham Mysore (Adobe Research), Bryan Pardo (Northwestern University), Paris Smaragdis (University of Illinois at Urbana Champaign), Celso Gomes (Adobe Research),,,,,,,,,
308,On the Usability of HTTPS Deployment, Matthew Bernhard (University of Michigan), Jonathan Sharman, Claudia Ziegler Acemyan, Philip Kortum, Dan S. Wallach (Rice University), J. Alex Halderman (University of Michigan),,,,,,,,
309,PledgeWork: Online Volunteering through Crowdwork, Keiko Katsuragawa, Qi Shu, Edward Lank (University of Waterloo),,,,,,,,,,,
310,Modeling the Engagement-Disengagement Cycle of Compulsive Phone Use, Jonathan A. Tran, Katie S. Yang, Katie Davis, Alexis Hiniker (University of Washington),,,,,,,,,,
311,Social Reflections on Fitness Tracking Data: A Study with Families in Low-SES Neighborhoods, Herman Saksono (Northeastern University), Carmen Castaneda-Sceppa, Jessica Hoffman, Magy Seif El-Nasr (Northeastern University), Vivien Morris (Mattapan Food and Fitness Coalition), Andrea G. Parker (Northeastern University),,,,,,,,
312,Occupational Therapy is Making: Clinical Rapid Prototyping and Digital Fabrication, Megan Hofmann, Kristin William, Toni Kaplan, Stephanie Valencia, Gabriella Hann, Scott E. Hudson (Carnegie Mellon University), Jennifer Mankoff (University of Washington), Patrick Carrington (Carnegie Mellon University),,,,,,
313,Communicating Hurricane Risks: Multi-Method Examination of Risk Imagery Diffusion, Melissa Bica (University of Colorado Boulder), Julie L. Demuth (National Center for Atmospheric Research), James E. Dykes, Leysia Palen (University of Colorado Boulder),,,,,,,,,,
314,Collective Wisdom: Inquiring into Collective Homes as a Site for HCI Design, Jo Shin, Gabriela Aceves Sepúlveda, William Odom (Simon Fraser University),,,,,,,,,,,
315,Symbiotic Encounters: HCI and Sustainable Agriculture, Szu-Yu (Cyn) Liu, Shaowen Bardzell, Jeffrey Bardzell (Indiana University),,,,,,,,,,,
316,Freedom to Personalize My Digital Classroom: Understanding Teachers' Practices and Motivations, Laton Vermette (Simon Fraser University), Joanna McGrenere (University of British Columbia), Colin Birge, Adam Kelly (Microsoft Corporation), Parmit K. Chilana (Simon Fraser University),,,,,,,,,
317,Healthy Lies: The Effects of Misrepresenting Player Health Data on Experience Behavior and Performance, Jason Wuertz (University of New Brunswick), Max V. Birk (Eindhoven University of Technology), Scott Bateman (University of New Brunswick),,,,,,,,,,,
318,Pseudo-Haptic Weight: Changing the Perceived Weight of Virtual Objects By Manipulating Control-Display Ratio, Majed Samad, Elia Gatti, Anne Hermes, Hrvoje Benko, Cesare Parise (Facebook Reality Labs),,,,,,,,,
319,EnhancedTouchX: Smart Bracelets for Augmenting Interpersonal Touch Interactions, Taku Hachisu, Baptiste Bourreau, Kenji Suzuki (University of Tsukuba),,,,,,,,,,,
320,Older People Inventing their Personal Internet of Things with the IoT Un-Kit Experience, Aloha Hufana Ambe, Margot Brereton, Alessandro Soro, Min Zhen Chai, Laurie Buys, Paul Roe, (Queensland University of Technology),,,,,,,
321,Brick: Toward A Model for Designing Synchronous Colocated Augmented Reality Games, Po Bhattacharyya, Radha Nath, Yein Jo, Ketki Jadhav, Jessica Hammer (Carnegie Mellon University),,,,,,,,,
322,Instrumenting and Analyzing Fabrication Activities Users and Expertise, Jun Gong (Autodesk Research & Dartmouth College), Fraser Anderson, George Fitzmaurice (Autodesk Research), Tovi Grossman (Autodesk Research & University of Toronto),,,,,,,,,,
323,Scaptics and Highlight-Planes: Immersive Interaction Techniques for Finding Occluded Features in 3D Scatterplots, Arnaud Prouzeau, Maxime Cordeil, Clement Robin, Barrett Ens (Monash University), Bruce H. Thomas (University of South Australia), Tim Dwyer (Monash University),,,,,,,,
324,ChewIt. An Intraoral Interface for Discreet Interactions, Pablo Gallego Cascon (University of Auckland), Denys J.C. Matthies (Auckland Bioengineering Institute), Sachith Muthukumarana (University of Auckland), Suranga Nanayakkara (The University of Auckland),,,,,,,,,,
325,The Scale and Structure of Personal File Collections, Jesse David Dinneen (Victoria University of Wellington), Charles-Antoine Julien, Ilja Frissen (McGill University),,,,,,,,,,,
326,The Effects of Interruption Timings on Autonomous Height-Adjustable Desks that Respond to Task Changes, Bokyung Lee (Korea Advanced Institute of Science and Technology), Sindy Wu (University of Florida), Maria Reyes, Daniel Saakes (Korea Advanced Institute of Science and Technology),,,,,,,,,,
327,SurfaceSight: A New Spin on Touch User and Object Sensing for IoT Experiences, Gierad Laput, Chris Harrison (Carnegie Mellon University),,,,,,,,,,,,
328,Conservation of Procrastination: Do Productivity Interventions Save Time Or Just Redistribute It?, Geza Kovacs, Drew Mylander Gregory (Stanford University), Zilin Ma (Bucknell University), Zhengxuan Wu, Golrokh Emami, Jacob Ray, Michael S. Bernstein (Stanford University),,,,,,,
329,Understanding Law Enforcement Strategies and Needs for Combating Human Trafficking, Julia Deeb-Swihart, Alex Endert, Amy Bruckman (Georgia Institute of Technology),,,,,,,,,,,
330,Vocal Shortcuts for Creative Experts, Yea-Seul Kim (University of Washington), Mira Dontcheva (Adobe Research), Eytan Adar (University of Michigan), Jessica Hullman (Northwestern University),,,,,,,,,,
331,Rumors and Collective Sensemaking: Managing Ambiguity in an Informal Marketplace, Priyank Chandra, Joyojeet Pal (University of Michigan),,,,,,,,,,,,
332,Temporal Rhythms and Patterns of Electronic Documentation in Time-Critical Medical Work, Swathi Jagannath, Aleksandra Sarcevic, Victoria Young (Drexel University), Sage Myers (The Children's Hospital of Philadelphia),,,,,,,,,,
333,Personas and Identity: Looking at Multiple Identities to Inform the Construction of Personas, Nicola Marsden, Monika Probster (Heilbronn University),,,,,,,,,,,,
334,Hands Holding Clues for Object Recognition in Teachable Machines, Kyungjun Lee, Hernisa Kacorri (University of Maryland College Park),,,,,,,,,,,,
335,Friending to Flame: How Social Features Affect Player Behaviours in an Online Collectible Card Game, Selen Turkay, Sonam Adinolf (Queensland University of Technology),,,,,,,,,,,,
336,Sensing Fine-Grained Hand Activity with Smartwatches, Gierad Laput, Chris Harrison (Carnegie Mellon University),,,,,,,,,,,,
337,Human-Computer Insurrection: Notes on an Anarchist HCI, Os Keyes, Josephine Hoy, Margaret Drouhard (University of Washington),,,,,,,,,,,
338,"Beyond ""One-Size-Fits-All"": Understanding the Diversity in How Software Newcomers Discover and Make Use of Help Resources", Kimia Kiani, George Cui (Simon Fraser University), Andrea Bunt (University of Manitoba), Joanna McGrenere (University of British Columbia), Parmit K. Chilana (Simon Fraser University),,,,,,,,,
339,City Explorer: The Design and Evaluation of a Location-Based Community Information System, Carolyn Pang, Rui Pan, Carman Neustaedter, Kate Hennessy (Simon Fraser University),,,,,,,,,,
340,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis, Hana Vrzakova, Mary Jean Amon, Angela E. B. Stewart, Sidney K. D'Mello (University of Colorado Boulder),,,,,,,,,,
341,Upside and Downside Risk in Online Security for Older Adults with Mild Cognitive Impairment, Helena M. Mentis, Galina Madjaroff, Aaron K. Massey (University of Maryland),,,,,,,,,,,
342,Seekers Providers Welcomers and Storytellers: Modeling Social Roles in Online Health Communities, Diyi Yang, Robert E. Kraut (Carnegie Mellon University), Tenbroeck Smith (American Cancer Society), Elijah Mayfield (Carnegie Mellon University), Dan Jurafsky (Stanford University),,,,,,,,,
343,AdaCAD: Crafting Software For Smart Textiles Design, Mikhaila Friske, Shanel Wu, Laura Devendorf (University of Colorado Boulder),,,,,,,,,,,
344,Trust and Recall of Information across Varying Degrees of Title-Visualization Misalignment, Ha-Kyung Kong (University of Illinois at Urbana-Champaign), Zhicheng Liu (Adobe Research), Karrie Karahalios (Adobe Research & University of Illinois at Urbana-Champaign),,,,,,,,,,,
345,RealityCheck: Blending Virtual Environments with Situated Physical Reality, Jeremy Hartmann (University of Waterloo & Microsoft Research), Christian Holz, Eyal Ofek, Andrew D. Wilson (Microsoft Research),,,,,,,,,,
346,Lost in Style: Gaze-driven Adaptive Aid for VR Navigation, Rawan Alghofaili (George Mason University), Yasuhito Sawahata (Japan Broadcasting Corporation), Haikun Huang (University of Massachusetts Boston), Hsueh-Cheng Wang (National Chiao Tung University), Takaaki Shiratori (Facebook), Lap-Fai Yu (George Mason University),,,,,,,,
347,If It's Important It Will Be A Headline: Cybersecurity Information Seeking in Older Adults, James Nicholson, Lynne Coventry, Pamela Briggs (Northumbria University),,,,,,,,,,,
348,Engaging Lived and Virtual Realities, Aditya Vishwanath (Stanford University), Naveena Karusala (University of Washington), Marisol Wong-Villacres, Neha Kumar (Georgia Institute of Technology),,,,,,,,,,
349,Alternative Avenues for IoT: Designing with Non-Stereotypical Homes, Audrey Desjardins, Jeremy E. Viny, Cayla Key, Nouela Johnston (University of Washington),,,,,,,,,,
350,Collaborative Futures: Co-Designing Research Methods for Younger People Living with Dementia, Jeanette Bell, Tuck Wah Leong (University of Technology Sydney),,,,,,,,,,,,
351,I was really really nervous posting it: Communicating about Invisible Chronic Illnesses across Social Media Platforms, Shruti Sannon (Cornell University), Elizabeth I. Murnane (Stanford University), Natalya N. Bazarova, Geri Gay (Cornell University),,,,,,,,,,
352,The Effect of Field-of-View Restriction on Sex Bias in VR Sickness and Spatial Navigation Performance, Majed Al Zayer, Isayas B. Adhanom, Paul MacNeilage, Eelke Folmer (University of Nevada),,,,,,,,,,
353,Implementing Multi-Touch Gestures with Touch Groups and Cross Events, Steve Oney, Rebecca Krosnick (University of Michigan), Joel Brandt (Adobe), Brad Myers (Carnegie Mellon University),,,,,,,,,,
354,Witchcraft and HCI: Morality, Modernity, and Postcolonial Computing in Rural Bangladesh, Sharifa Sultana (Cornell University), Syed Ishtiaque Ahmed (University of Toronto),,,,,,,,,,
355,QuizBot: A Dialogue-based Adaptive Learning System for Factual Knowledge, Sherry Ruan (Stanford University), Liwei Jiang (Colby College), Justin Xu, Bryce Joe-Kun Tham, Zhengneng Qiu (Stanford University), Yeshuang Zhu (Tsinghua University), Elizabeth L. Murnane, Emma Brunskill, James A. Landay (Stanford University),,,,,
356,The Adventures of Older Authors: Exploring Futures through Co-Design Fictions, Aloha Hufana Ambe, Margot Brereton, Alessandro Soro, Laurie Buys, Paul Roe, (Queensland University of Technology),,,,,,,,
357,Beyond The Force: Using Quadcopters to Appropriate Objects and the Environment for Haptics in Virtual Reality, Parastoo Abtahi, Benoit Landry, Jackie Yang, Marco Pavone, Sean Follmer, James A. Landay, (Stanford University),,,,,,,
358,Using Presence Questionnaires in Virtual Reality, Valentin Schwind (University of Stuttgart), Pascal Knierim (Ludwig Maximilian University of Munich), Nico Haas (University of Stuttgart), Niels Henze (University of Regensburg),,,,,,,,,,
359,Understanding the Social Acceptability of Mobile Devices using the Stereotype Content Model, Valentin Schwind (University of Stuttgart), Niklas Deierlein (University of Hagen), Romina Poguntke (University of Stuttgart), Niels Henze (University of Regensburg),,,,,,,,,,
360,Anchoring Effects and Troublesome Asymmetric Transfer in Subjective Ratings, Andy Cockburn (University of Canterbury), Carl Gutwin (University of Saskatchewan),,,,,,,,,,,,
361,Aggregated Visualization of Playtesting Data, Gunter Wallner (Eindhoven University of Technology), Nour Halabi (University of Ontario Institute of Technology), Pejman Mirza-Babaei (University of Ontario Institute of Technology),,,,,,,,,,,
362,Look-From Camera Control for 3D Terrain Maps, Kurtis Danyluk (University of Calgary), Bernhard Jenny (Monash University), Wesley Willett (University of Calgary),,,,,,,,,,,
363,ZeRONE: Safety Drone with Blade-Free Propulsion, Wataru Yamada, Hiroyuki Manabe, Daizo Ikeda (NTT DOCOMO),,,,,,,,,,,
364,Beyond the Patient Portal: Supporting Needs of Hospitalized Patients, Shefali Haldar, Sonali R. Mishra, Maher Khelifi (University of Washington), Ari H. Pollack (Seattle Children's Hospital), Wanda Pratt (University of Washington),,,,,,,,,
365,Can Privacy Be Satisfying? On Improving Viewer Satisfaction for Privacy-Enhanced Photos Using Aesthetic Transforms, Rakibul Hasan (Indiana University), Yifang Li (Clemson University), Eman Hassan (Indiana University), Kelly Caine (Clemson University), David J. Crandall (Indiana University), Roberto Hoyle (Oberlin College), Apu Kapadia (Indiana University),,,,,,,
366,An Analytic Model for Time Efficient Personal Hierarchies, William Delamare (Kochi University of Technology & University of Manitoba), Ali Neshati, Pourang Irani (University of Manitoba), Xiangshi Ren (Kochi University of Technology),,,,,,,,,,
367,Geppetto: Enabling Semantic Design of Expressive Robot Behaviors, Ruta Desai (Carnegie Mellon University), Fraser Anderson, Justin Matejka (Autodesk Research), Stelian Coros (ETH Zurich), James McCann (Carnegie Mellon University), George Fitzmaurice, Tovi Grossman (Autodesk Research),,,,,,,
368,Personal Health Oracle: Explorations of Personalized Predictions in Diabetes Self-Management, Pooja M. Desai (Columbia University Teachers College), Elliot G. Mitchell (Columbia University Medical Center), Maria L. Hwang (Fashion Institute of Technology), Matthew E. Levine (California Institute of Technology), David J. Albers ( Columbia University Medical Center), Lena Mamykina (Columbia University Medical Center),,,,,,,,
369,Exploring Factors that Influence Connected Drivers to (Not) Use or Follow Recommended Optimal Routes, Briane Paul V. Samson (De La Salle University & Future University Hakodate), Yasuyuki Sumi (Future University Hakodate),,,,,,,,,,,,
370,I Bought This for Me to Look More Ordinary: A Study of Blind People Doing Online Shopping, Guanhong Liu (Tsinghua University), Xianghua Ding (Fudan University), Chun Yu (Tsinghua University), Lan Gao (Beihang University), Xingyu Chi (Kensington Park School), Yuanchun Shi (Tsinghua University),,,,,,,,
371,Touchscreen Haptic Augmentation Effects on Tapping Drag and Drop and Path Following, Mitchell L. Gordon (Stanford University), Shumin Zhai (Google),,,,,,,,,,,,
372,Opportunities for Automating Email Processing: A Need-Finding Study, Soya Park, Amy X. Zhang, Luke S. Murray, David R. Karger (Massachusetts Institute of Technology),,,,,,,,,,
373,Examining Augmented Virtuality Impairment Simulation for Mobile App Accessibility Design, Kenny Tsu Wei Choo, Rajesh Krishna Balan (Singapore Management University), Youngki Lee (Seoul National University),,,,,,,,,,,
374,Accessible Gesture Typing for Non-Visual Text Entry on Smartphones, Syed Masum Billah, Yu-Jung Ko, Vikas Ashok, Xiaojun Bi, IV Ramakrishnan (Stony Brook University),,,,,,,,,
375,Gabber: Supporting Voice in Participatory Qualitative Practices, Jay Rainey, Kyle Montague (Newcastle University), Pamela Briggs (Northumbria University), Robert Anderson, Thomas Nappey (Newcastle University), Patrick Olivier (Monash University),,,,,,,,
376,Voice User Interfaces in Schools: Co-designing for Inclusion with Visually-Impaired and Sighted Pupils, Oussama Metatla, Alison Oldfield, Taimur Ahmed, Antonis Vafeas, Sunny Miglani (University of Bristol),,,,,,,,,
377,Programmable Donations: Exploring Escrow-Based Conditional Giving, Chris Elsden (Northumbria University), Ludwig Trotter, Mike Harding, Nigel Davies (Lancaster University), Chris Speed (University of Edinburgh), John Vines (Northumbria University),,,,,,,,
378,Like A Second Skin: Understanding How Epidermal Devices Affect Human Tactile Perception, Aditya Shekhar Nittala (Saarland University), Klaus Kruttwig (INM-Leibniz Institute for New Materials), Jaeyeon Lee (Korea Advanced Institute of Science and Technology), Roland Bennewitz, Eduard Arzt (INM-Leibniz Institute for New Materials), Jurgen Steimle (Saarland University),,,,,,,,
379,Exploring Crowdsourced Work in Low-Resource Settings, Manu Chopra, Indrani Medhi Thies, Joyojeet Pal, Colin Scott, William Thies, Vivek Seshadri (Microsoft Research),,,,,,,,
380,Using Both Hands: Tangibles for Stroke Rehabilitation in the Home, Mikko Kyto (Aalto University), Laura Maye (Aalto University), David McGookin (Aalto University),,,,,,,,,,,
381,Barriers to End-User Designers of Augmented Fabrication, Chandan Mahapatra (Rochester Institute of Technology), Jonas Kjeldmand Jensen (University of Copenhagen), Michael McQuaid (Rochester Institute of Technology), Daniel Ashbrook (University of Copenhagen),,,,,,,,,,
382,Bookly: An Interactive Everyday Artifact Showing the Time of Physically Accumulated Reading Activity, Somi Ju, Kyung-Ryong Lee, Subin Kim, Young-Woo Park (Ulsan National Institute of Science and Technology),,,,,,,,,,
383,Empowering Expression for Users with Aphasia through Constrained Creativity, Timothy Neate, Abi Roper, Stephanie Wilson, Jane Marshall (University of London),,,,,,,,,,
384,The Race Towards Digital Wellbeing: Issues and Opportunities, Alberto Monge Roffarello, Luigi De Russis (Politecnico di Torino),,,,,,,,,,,,
385,Autonomous Distributed Energy Systems: Problematising the Invisible through Design Drama and Deliberation, Larissa Pschetz (University of Edinburgh), Kruakae Pothong (University College London), Chris Speed (University of Edinburgh),,,,,,,,,,,
386,Empowering End Users in Debugging Trigger-Action Rules, Fulvio Corno, Luigi De Russis, Alberto Monge Roffarello (Politecnico di Torino),,,,,,,,,,,
387,Mapping the Landscape of Creativity Support Tools in HCI, Jonas Frich, Lindsay MacDonald Vermeulen, Christian Remy, Michael Mose Biskjaer, Peter Dalsgaard, (Aarhus University),,,,,,,,
388,Follow the Money: Managing Personal Finance Digitally, Makayla Lewis, Mark Perry (Brunel University London),,,,,,,,,,,,
389,Crowdworker Economics in the Gig Economy, Jason T. Jacques, Per Ola Kristensson (University of Cambridge),,,,,,,,,,,,
390,Why Do You Need This? Selective Disclosure of Data Among Citizen Scientists, Anna Rudnicka, Anna L. Cox (University College London), Sandy J. J. Gould (University of Birmingham),,,,,,,,,,,
391,Frame Analysis of Voice Interaction Gameplay, Fraser Allison, Joshua Newn, Wally Smith (The University of Melbourne), Marcus Carter (The University of Sydney), Martin Gibbs (The University of Melbourne),,,,,,,,,
392,A Tale of Two Perspectives: A Conceptual Framework of User Expectations and Experiences of Instructional Fitness Apps, Ahed Aladwan, Ryan M. Kelly, Steven Baker, Eduardo Velloso (University of Melbourne),,,,,,,,,,
393,PicMe: Interactive Visual Guidance for Taking Requested Photo Composition, Minju Kim (Korea Advanced Institute of Science and Technology), Jungjin Lee (KAI Inc.),,,,,,,,,,,,
394,Power Struggles and Disciplined Designers - A Nexus Analytic Inquiry on Cross-Disciplinary Research and Design, Netta Iivari (University of Oulu),,,,,,,,,,,,,
395,Evaluating Sustainable Interaction Design of Digital Services: The Case of YouTube, Chris Preist, Daniel Schien, Paul Shabajee (University of Bristol),,,,,,,,,,,
396,Affinity Lens: Data-Assisted Affinity Diagramming with Augmented Reality, Hariharan Subramonyam (University of Michigan), Steven M. Drucker (Microsoft Research), Eytan Adar (University of Michigan),,,,,,,,,,,
397,Managing Multimorbidity: Identifying Design Requirements for a Digital Self-Management Tool to Support Older Adults with Multiple Chronic Conditions, Julie Doyle (Dundalk Institute of Technology), Emma Murphy (Trinity College Dublin), Janneke Kuiper (Vrije Universiteit Brussel), Suzanne Smith (Dundalk Institute of Technology), Caoimhe Hannigan (Trinity College Dublin), An Jacobs (Vrije Universiteit Brussel), John Dinsmore (Trinity College Dublin),,,,,,,
398,The Performative Mirror Space, Rachel Jacobs, Holger Schnadelbach (University of Nottingham), Nils Jager (University of Loughborough), Silvia, Leal, Robin Shackford (Independent Creative), Steve Benford, Roma Patel (University of Nottingham),,,,,,
399,The Inflatable Cat: Idiosyncratic Ideation of Smart Objects for the Home, Arne Berger (Chemnitz University of Technology), William Odom (Simon Fraser University), Michael Storz, Andreas Bischof, Albrecht Kurze (Chemnitz University of Technology), Eva Hornecker (Bauhaus-Universitat Weimar),,,,,,,,
400,Grasping Microgestures: Eliciting Single-hand Microgestures for Handheld Objects, Adwait Sharma, Joan Sol Roo, Jurgen Steimle (Saarland University),,,,,,,,,,,
401,AutoFritz: Autocomplete for Prototyping Virtual Breadboard Circuits, Jo-Yu Lo, Da-Yuan Huang, Tzu-Sheng Kuo (National Taiwan University), Chen-Kuo Sun (National Taiwan University), Jun Gong (Dartmouth College), Teddy Seyed (University of Calgary), Xing-Dong Yang (Dartmouth College), Bing-Yu Chen (National Taiwan University),,,,,,
402,Printer Pals: Experience-Centered Design to Support Agency for People with Dementia, Sarah Foley (University College Cork), Daniel Welsh (Newcastle University), Nadia Pantidi (University College Cork), Kellie Morrissey, Tom Nappey (Newcastle University), John McCarthy (University College Cork),,,,,,,,
403,Using Time and Space Efficiently in Driverless Cars: Findings of a Co-Design Study, Gunnar Stevens (University of Siegen), Paul Bossauer, Stephanie Vonholdt, Christina Pakusch (Bonn-Rhein-Sieg University),,,,,,,,,,
404,Expression of Curiosity in Social Robots: Design, Perception and Effects on Behaviour, Jessy Ceha, Nalin Chhibber, Joslin Goh, Corina McDonald (University of Waterloo), Pierre-Yves Oudeyer (Inria Bordeaux Sud-Ouest), Dana Kulic, Edith Law (University of Waterloo),,,,,,
405,Understanding and Mitigating Worker Biases in the Crowdsourced Collection of Subjective Judgments, Christoph Hube, Besnik Fetahu, Ujwal Gadiraju (Leibniz Universtat Hannover),,,,,,,,,,,
