ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
171,Evaluating the Combination of Visual Communication Cues for HMD-based Mixed Reality Remote Collaboration, Seungwon Kim, Gun Lee (University of South Australia), Weidong Huang (Swinburne University of Technology), Hayun Kim (Korea Advanced Institute of Science and Technology), Woontack Woo (Korea Advanced Institute of Science and Technology), Mark Billinghurst (University of South Australia),,,,,,,,
172,GymSoles: Improving Squats and Dead-Lifts by Visualizing the User's Center of Pressure, Don Samitha Elvitigala, Denys J.C. Matthies, Loic David, Chamod Weerasinghe, Suranga Nanayakkara (The University of Auckland),,,,,,,,,
173,Usability of Gamified Knowledge Learning in VR and Desktop-3D, Sebastian Oberdorfer, David Heidrich, Marc Erich Latoschik (University of Wurzburg),,,,,,,,,,,
174,Mobi3DSketch: 3D Sketching in Mobile AR, Kin Chung Kwan, Hongbo Fu (City University of Hong Kong),,,,,,,,,,,,
175,VirtualComponent: A Mixed-Reality Tool for Designing and Tuning Breadboarded Circuits, Yoonji Kim, Youngkyung Choi, Hyein Lee, Geehyuk Lee, Andrea Bianchi (Korea Advanced Institute of Science and Technology),,,,,,,,,
176,Ethical Mediation in UX Practice, Colin M. Gray, Shruthi Sai Chivukula (Purdue University),,,,,,,,,,,,
177,Comparing Apples and Oranges: Taxonomy and Design of Pairwise Comparisons within Tabular Data Po-Ming Law, Subhajit Das, Rahul C. Basole (Georgia Institute of Technology),,,,,,,,,,,,
178,Everyone Has Some Personal Stuff: Designing to Support Digital Privacy with Shared Mobile Phone Use in Bangladesh, Syed Ishtiaque Ahmed (University of Toronto), Md. Romael Haque (Marquette University), Irtaza Haider (Georgia Institute of Technology), Jay Chen (New York University), Nicola Dell (Cornell Tech),,,,,,,,,
179,Accessing a New Land: Designing for a Social Conceptualisation of Access, Lizzie Coles-Kemp, Rikke Bjerg Jensen (Royal Holloway University of London),,,,,,,,,,,,
180,Gamified Ads: Bridging the Gap Between User Enjoyment and the Effectiveness of Online Ads, Maximilian Altmeyer, Kathrin Dernbecher, Vladislav Hnatovskiy, Marc Schubhan, Pascal Lessel, Antonio Kruger (German Research Center for Artificial Intelligence),,,,,,,,
181,The Role of Physical Props in VR Climbing Environments, Peter Schulz, Dmitry Alexandrovsky, Felix Putze, Rainer Malaka, Johannes Schoning (University of Bremen),,,,,,,,,
182,Digital Fabrication of Soft Actuated Objects by Machine Knitting, Lea Albaugh, Scott Hudson, Lining Yao (Carnegie Mellon University),,,,,,,,,,,
183,Sketching NLP: A Case Study of Exploring the Right Things To Design with Language Intelligence, Qian Yang (Carnegie Mellon University), Justin Cranshaw, Saleema Amershi, Shamsi T. Iqbal, Jaime Teevan (Microsoft Research),,,,,,,,,
184,Engagement with Mental Health Screening on Mobile Devices: Results from an Antenatal Feasibility Study, Kevin Doherty (Trinity College Dublin), Jose Marcano-Belisario, Martin Cohn, Nikolaos Mastellos (Imperial College London), Cecily Morrison (Microsoft Research), Josip Car (Imperial College London), Gavin Doherty (Trinity College Dublin),,,,,,,
185,Automating the Intentional Encoding of Human-Designable Markers, Joshua D.A. Jung, Rahul N. Iyer, Daniel Vogel (University of Waterloo),,,,,,,,,,,
186,Ethical Dimensions of Visualization Research, Michael Correll (Tableau Research),,,,,,,,,,,,,
187,Investigating the Effect of Orientation and Visual Style on Touchscreen Slider Performance, Ashley Colley (University of Lapland), Sven Mayer (University of Stuttgart), Niels Henze (University of Regensburg),,,,,,,,,,,
188,Detecting Perception of Smartphone Notifications Using Skin Conductance Responses, Pascal E. Fortin, Elisabeth Sulmont, Jeremy Cooperstock (McGill University),,,,,,,,,,,
189,Exploring the Opportunities for Technologies to Enhance Quality of Life with People who have Experienced Vision Loss, Rachel Bartlett, Yi Xuan Khoo, Juan Pablo Hourcade, Kyle K. Rector (University of Iowa),,,,,,,,,,
190,Ranked-List Visualization: A Graphical Perception Study, Pranathi Mylavarapu (University of Maryland College Park), Adil Yalcin (Keshif, LLC.), Xan Gregg (SAS Institute, Inc.), Niklas Elmqvist (University of Maryland College Park),,,,,,,,
191,A Lie Reveals the Truth: Quasimodes for Task-Aligned Data Presentation, Jacob Ritchie, Daniel Wigdor, Fanny Chevalier (University of Toronto),,,,,,,,,,,
192,You 'Might' Be Affected: An Empirical Analysis of Readability and Usability Issues in Data Breach Notifications, Yixin Zou, Shawn Danino, Kaiwen Sun, Florian Schaub (University of Michigan),,,,,,,,,,
193,Understanding Trust Transportation and Accessibility through Ridesharing, Robin N. Brewer, Vaishnav Kameswaran (University of Michigan),,,,,,,,,,,,
194,Experimental Analysis of Barehand Mid-air Mode-Switching Techniques in Virtual Reality, Hemant Bhaskar Surale (University of Waterloo), Fabrice Matulic (Preferred Networks Inc.), Daniel Vogel (University of Waterloo),,,,,,,,,,,
195,Designing Interactive 3D Printed Models with Teachers of the Visually Impaired, Lei Shi (Cornell Tech), Holly Lawson (Portland State University), Zhuohao Zhang (Zhejiang University), Shiri Azenkot (Cornell Tech),,,,,,,,,,
196,Defending My Castle: A Co-Design Study of Privacy Mechanisms for Smart Homes, Yaxing Yao, Justin Reed Basdeo, Smirity Kaushik, Yang Wang (Syracuse University),,,,,,,,,,
197,Understanding Perceptions of Problematic Facebook Use: When People Experience Negative Life Impact and a Lack of Control, Justin Cheng, Moira Burke, Elena Goetz Davis (Facebook),,,,,,,,,,,
198,Typing on Split Keyboards with Peripheral Vision, Yiqin Lu, Chun Yu (Tsinghua University), Shuyi Fan (Tsinghua University), Xiaojun Bi (Stony Brook University), Yuanchun Shi (Tsinghua University),,,,,,,,,
199,Mixed Reality Remote Collaboration Combining 360 Video and 3D Reconstruction, Theophilus Teo, Louise Lawrence, Gun A. Lee, Mark Billinghurst (University of South Australia), Matt Adcock (CSIRO),,,,,,,,,
200,Decision-Making Under Uncertainty in Research Synthesis: Designing for the Garden of Forking Paths, Alex Kale (University of Washington), Matthew Kay (University of Michigan), Jessica Hullman (Northwestern University),,,,,,,,,,,
201,ReType: Quick Text Editing with Keyboard and Gaze, Shyamli Sindhwani (University of Auckland), Christof Lutteroth (University of Bath), Gerald Weber (University of Auckland),,,,,,,,,,,
202,Desktop Electrospinning: A Single Extruder 3D Printer for Producing Rigid Plastic and Electrospun Textiles, Michael L. Rivera, Scott E. Hudson (Carnegie Mellon University),,,,,,,,,,,,
203,Reading Face Reading Health: Exploring Face Reading Technologies for Everyday Health, Xianghua Ding, Yanqi Jiang, Xiankang Qin (Fudan University), Yunan Chen (University of California Irvine), Wenqiang Zhang, Lizhe Qi (Fudan University),,,,,,,,
204,Editing Spatial Layouts through Tactile Templates for People with Visual Impairments, Jingyi Li (Stanford University), Son Kim (Vista Center for the Blind and Visually Impaired), Joshua A. Miele (The Smith-Kettlewell Eye Research Institute), Maneesh Agrawala, Sean Follmer (Stanford University),,,,,,,,,
205,The Effect of Stereo Display Deficiencies on Virtual Hand Pointing, Mayra Donaji Barrera Machuca, Wolfgang Stuerzlinger (Simon Fraser University),,,,,,,,,,,,
206,Effects of Local Latency on Game Pointing Devices and Game Pointing Tasks, Michael Long, Carl Gutwin (University of Saskatchewan),,,,,,,,,,,,
207,Chatbots Humbots and the Quest for Artificial General Intelligence, Jonathan Grudin, Richard Jacques (Microsoft Corporation),,,,,,,,,,,,
208,Haptic Navigation Cues on the Steering Wheel, Patrizia Di Campli San Vito, Gozel Shakeri, Stephen Brewster, Frank Pollick (University of Glasgow), Edward Brown, Lee Skrypchuk, Alexandros Mouzakitis (Jaguar Land Rover Ltd.),,,,,,,
209,Drag:on: A Virtual Reality Controller Providing Haptic Feedback Based on Drag and Weight Shift, Andre Zenner, Antonio Kruger (German Research Center for Artificial Intelligence),,,,,,,,,,,,
210,ForceRay: Extending Thumb Reach via Force Input Stabilizes Device Grip for Mobile Touch Input, Christian Corsten, Marcel Lahaye, Jan Borchers, Simon Voelker (RWTH Aachen University),,,,,,,,,,
211,Understanding and Modeling User-Perceived Brand Personality from Mobile Application UIs, Ziming Wu, Taewook Kim, Quan Li, Xiaojuan Ma (Hong Kong University of Science and Technology),,,,,,,,,,
212,Underneath the Skin: An Analysis of YouTube Videos to Understand Insertable Device Interaction, Aida Komkaite, Liga Lavrinovica, Maria Vraka, Mikael B. Skov (Aalborg University),,,,,,,,,,
213,Stroke-Gesture Input for People with Motor Impairments: Empirical Results & Research Roadmap, Radu-Daniel Vatavu, Ovidiu-Ciprian Ungurean (University Ştefan cel Mare of Suceava),,,,,,,,,,,,
214,Developing Accessible Services: Understanding Current Knowledge and Areas for Future Support, Michael Crabb (University of Dundee), Michael Heron (Robert Gordon University), Rhianne Jones, Mike Armstrong (BBC Research), Hayley Reid (FinancialForce), Amy Wilson (Robert Gordon University),,,,,,,,
215,Touchstone2: An Interactive Environment for Exploring Trade-offs in HCI Experiment Design, Alexander Eiselmayer, Chat Wacharamanotham (University of Zurich), Michel Beaudouin-Lafon (Universite Paris-Sud), Wendy E. Mackay (Universite Paris-Sud),,,,,,,,,,
216,Socio-technical Dynamics: Cooperation of Emergent and Established Organisations in Crises and Disasters, Daniel Auferbauer (AIT Austrian Institute of Technology), Hilda Tellioglu (TU Wien),,,,,,,,,,,,
217,Interpreting the Diversity in Subjective Judgments, Jean-Bernard Martens (Eindhoven University of Technology),,,,,,,,,,,,,
218,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR, Hsin-Ruey Tsai (National Taiwan University & University of Tokyo), Jun Rekimoto (University of Tokyo), Bing-Yu Chen (National Taiwan University),,,,,,,,,,,
